,0,1,2
0,쇼생크 탈출,https://movie-phinf.pstatic.net/20160119_278/14531650465287bcuk_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
1,터미네이터 2,https://movie-phinf.pstatic.net/20150618_223/1434606067675y97wa_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Action' 'Thriller']
2,죽은 시인의 사회,https://movie-phinf.pstatic.net/20160811_237/1470893687476y2lJU_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
3,매트릭스,https://movie-phinf.pstatic.net/20160907_158/1473230958410gjEYe_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Action']
4,인생은 아름다워,https://movie-phinf.pstatic.net/20160321_156/14585243498978uRh9_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Comedy']
5,레옹,https://movie-phinf.pstatic.net/20180614_21/1528939162378wtwMm_JPEG/movie_image.jpg?type=m203_290_2,['Crime' 'Action' 'Drama']
6,빽 투 더 퓨쳐,https://movie-phinf.pstatic.net/20150924_194/1443056454769VJKkL_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Comedy']
7,센과 치히로의 행방불명,https://movie-phinf.pstatic.net/20150113_96/1421113909808LPjqA_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Fantasy' 'Adventure' 'Family']
8,자백,https://movie-phinf.pstatic.net/20161004_45/1475545337972XDyUi_JPEG/movie_image.jpg?type=m203_290_2,['Documentary']
9,월-E,https://movie-phinf.pstatic.net/20111222_250/1324545484806T0DN9_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'SF' 'Family' 'Comedy' 'Romance' 'Adventure']
10,나 홀로 집에,https://movie-phinf.pstatic.net/20111222_256/1324527530062tFbqt_JPEG/movie_image.jpg?type=m203_290_2,['Adventure' 'Crime' 'Family' 'Comedy']
11,살인의 추억,https://movie-phinf.pstatic.net/20111222_166/1324548172003mpyIa_JPEG/movie_image.jpg?type=m203_290_2,['Crime' 'Mystery' 'Thriller' 'Comedy' 'Drama']
12,포레스트 검프,https://movie-phinf.pstatic.net/20160901_187/1472711688297YP2jH_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Comedy']
13,반지의 제왕: 왕의 귀환,https://movie-phinf.pstatic.net/20170112_240/1484183668820LGsTJ_JPEG/movie_image.jpg?type=m203_290_2,['Fantasy' 'Adventure' 'Action' 'War']
14,토이 스토리 3,https://movie-phinf.pstatic.net/20111223_166/1324619308419RAp5L_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Adventure' 'Comedy' 'Family' 'Fantasy']
15,라이언 일병 구하기,https://movie-phinf.pstatic.net/20111222_4/1324498435937yqCYm_JPEG/movie_image.jpg?type=m203_290_2,['War' 'Action' 'Drama']
16,굿바이 마이 프랜드,https://movie-phinf.pstatic.net/20111222_51/1324565484058LDGWr_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
17,사운드 오브 뮤직,https://movie-phinf.pstatic.net/20161124_209/1479966118269WuVYF_JPEG/movie_image.jpg?type=m203_290_2,['Romance' 'Musical' 'Drama']
18,슈퍼소닉,https://movie-phinf.pstatic.net/20161024_90/1477270787960CSQaf_JPEG/movie_image.jpg?type=m203_290_2,['Documentary']
19,에이리언 2,https://movie-phinf.pstatic.net/20111223_189/1324569548247L26km_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Horror' 'Thriller' 'Action']
20,헬프,https://movie-phinf.pstatic.net/20111223_214/1324649693153G81OH_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
21,동주,https://movie-phinf.pstatic.net/20160205_299/1454651273096sYmsK_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
22,주토피아,https://movie-phinf.pstatic.net/20160217_153/1455686083975zjajH_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Action' 'Adventure' 'Comedy' 'Family']
23,글래디에이터,https://movie-phinf.pstatic.net/20130419_151/1366338731242XqgJS_JPEG/movie_image.jpg?type=m203_290_2,['Action' 'Drama']
24,여인의 향기,https://movie-phinf.pstatic.net/20111222_152/1324529496355rYAnm_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Comedy']
25,울지마 톤즈,https://movie-phinf.pstatic.net/20111223_289/1324622149942dtKyL_JPEG/movie_image.jpg?type=m203_290_2,['Documentary']
26,빌리 엘리어트 뮤지컬 라이브,https://movie-phinf.pstatic.net/20141028_45/1414463799545BKScI_JPEG/movie_image.jpg?type=m203_290_2,['Unknown']
27,미세스 다웃파이어,https://movie-phinf.pstatic.net/20111222_82/1324538552665F1zbw_JPEG/movie_image.jpg?type=m203_290_2,['Comedy' 'Family' 'Drama']
28,패왕별희,https://movie-phinf.pstatic.net/20170309_211/1489024538678ITB9w_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
29,세 얼간이,https://movie-phinf.pstatic.net/20161005_215/1475647328961ETC6k_JPEG/movie_image.jpg?type=m203_290_2,['Comedy']
30,클래식,https://movie-phinf.pstatic.net/20111222_233/1324486884038nu8Xk_JPEG/movie_image.jpg?type=m203_290_2,['Romance' 'Drama']
31,아마데우스,https://movie-phinf.pstatic.net/20150915_185/1442285641128msR7J_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
32,반지의 제왕: 두 개의 탑,https://movie-phinf.pstatic.net/20170112_295/1484183596684X2ucM_JPEG/movie_image.jpg?type=m203_290_2,['Fantasy' 'Adventure' 'Action']
33,그대를 사랑합니다,https://movie-phinf.pstatic.net/20111223_56/13246314342663riGK_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
34,언터처블: 1%의 우정,https://movie-phinf.pstatic.net/20120206_287/1328516303779LrC9h_JPEG/movie_image.jpg?type=m203_290_2,['Comedy' 'Drama']
